Id,Título,Oración,Objeto,Dónde se compró,Medidas,Datos adicionales,Voz,Otras versiones
102,"ORACION AL STO. ANGEL DE LA GUARDA.
ORACION AL ESPIRITU DE LA PERSONA","ORACION AL STO ANGEL DE LA GUARDA
De _______ llamándolo Santo Ángel de la Guarda de ______ que gusto no tenga hasta que a mi casa no venga, Santo de hombre de ________ tranquilidad No le des hasta que a mi lado este. Sto. ¡OH¡ [sic] Santo de mi nombre y devoción que me tome mucho cariño e ilusión. San salvador de Orta que se contente conmigo, que importa, Anima de Juan minero que me quiera y que lo quiera, Sta. Inés del monte Perdido, devuélveme el cariño de ________que se ha ido. Espíritu, cuerpo y alma de ________desde este momento no tenga mas gusto, mas ilusión que para mí ________Espíritu, cuerpo y alma de _________ que su amor, su cariño, su fortuna, sus caricias, sus besos, todo él sea nomás para mí ________ cuerpo y alma de _________ no has de ir a ver ni a querer a ninguna otra mujer mas que a mi Espíritu de San Cipriano _______ tráemelo Espíritu de Sta. Elena ________ tráemelo Espíritu de Sta. Martha ________ tráemelo Espíritu de la Caridad del Pobre ______ tráemelo Virgen de Covadonga tráeme a fulano de tal.
[vuelto]
ORACION AL ESPIRITU DE LA PERSONA
Espíritu, cuerpo y alma de fulano, ven por que [sic] yo te amo, yo te sugestiono; Yo te domino tranquilidad no has de tener hasta que vengas rendido y humillado ante mis pies, así como atravieso este alfiler en la mitad de esta vela, así quiero que atraviese mi pensamiento la mitad de tu corazón para que olvides a la mujer que tengas y vengas que yo té [sic] llamo (Se repite 3 veces) Ángel de su día, Ángel del día de hoy, Ángel de la guarda de _______ doblega el corazón de ________ para que olvide a la muer que tenga y venga rendido a mis pies. (Se repite 3 veces).
TA NOMBRADO EL ESPIRITU SE DICE:
Espíritu de luz, que alumbráis las tinieblas de las almas, alumbra el cerebro de ______ para que se acuerde de mí y todo lo que tenga me lo de [sic] impulsado por tu poderes; a que sea el esclavo de mi amor; tranquilidad no le des hasta que a mi lado este.",Cartón amarillo,Mercado de Catemaco (2017),12.5 x 8.9,,,
103,"ORACIÓN AL SABIO REY SALOMON
ORACION PARA DISTANCIAR A DOS PERSONAS","ORACION AL SABIO REY SALOMON
DOMINADOR
Para librarse de daños y males diabólicos, envidias, fracasos, miserias, etc.
A vos invoco Sabio Rey Salomón, elegido por Dios Todopoderoso para guía y horizonte de la humanidad.
A voz invo0co para que con tu fuerza invisible y tu sabia desición, retires para siempre de este lugar los bichos malos y las cizañas de los fracasos y miserias.
Las culebras y víboras de la envidia, los escorpiones y las viscosas lagartijas de los males diabólicos y brujerías. AMEN
NOTA: En una vela del Espíritu del Poder unte un poco de aceite de Salomón; encienda la vela y sobre la flama arroje un poco de polvo del Poder de Salomón, al tiempo que reza la oración.
[vuelto]
ORACIÓN PARA DISTANCIAR A DOS PERSONAS
Este trabajo debe iniciarse en Sábado, continuarse el Lunes y darlo por terminado el Martes.
Unte 6 velas negras de sebo con chile piquín y escriba sobre cada una de ellas el nombre de las personas que quiere distanciar, luego susurre:
“por medio de estas velas, quiero que ……. y ……. se peleen y se alejen para siempre uno del otro”,
Azote las velas contra el piso, luego enciéndalas y permanezca ahí hasta que las dos velas se consuman.",Cartón rosa,Mercado de Catemaco (2017),12.5 x 8.5,,,
104,"EL HECHIZO DE LOS TRECE CLAVOS
EL HECHIZO DEL BESO DE FUEGO
ORACIÓN DE LA ANIMA SORDA-Y-MUDA","El hechizo de los trece clavos
En cualquier d+ía de trabajo, vístase sin negro y sin horquillas en el pelo. A la hora de la merienda, sírvale un té de clavos, con bastante miel, hecho con agua de lluvia.
El hechizo del beso de fuegop
Cuando el joven que ama está sentado a su lado, póngase un clavo fresco en su boca y chúpelo hasta que sienta la saliva en su boca. Esto es el río místico que ablandará la resistencia del hombre, y también su corazón. Habrá cierto cambio en su mirada, y observará los movimientos de su boca. Póngase otro clavo en la bosa, esta ves [sic] debajo de la lengua. Entonces, ponga el tercer clavo en la boca de él convirtiendo así sus labios en una boca de fuego. 
[vuelto]
ORACIÓN DE LA ANIMA SORDA-Y-MUDA
Padre Eterno, soberano dios, etc.
Anima, ánima, ánima sola, que gimes y lloras por montes y valles: yo te llamo y te necesito para que me vayas a buscar nueve ánimas de Limos, nueve necesito, nueve me has de traer, tres ahorcadas, tres arcabuceadas y tres muertas desgraciadas. Estas nueve ánimas retorcerán en la cabeza de …… y otra vez se volverán, y no la dejarán pasar, vivir ni comer, ni beberá, ni descansará, ni enamorará a ninguna otra, no volverá a pensar en mi, todo aborrecerá, ni con otra tendrá poder, sólo conmigo. Hasta que rabiando como un perro, humilde y manso, desesperado y loco de amor, sólo por mí, como Jesucristo tuvo que morir en la Cruz. Así tú ven ………. ven a rogarme con todo tu amor …… ven que te necesito, Amén.  ",Cartón amarillo,Mercado de Catemaco,12 x 8.5,,,
105,ORACION A STA. MARTA ENAMORADA,"Sta. Marta del amor, por el amor que puse en ti [sic], dile a los doce diablos más profundos del amor, que no la dejen por el día, ni por la noche ni un momento tranquila.
   Que sin mí no puedas estar un momento en sueño de revelaciones que me revele yo en sentido, en imaginación, y que piense en mí, que el amor que le tenga a otro de lo haga a mí en el nombre de Santiago Mulato.
San Judas Tadeo, San simón, cirineo, Santo Tomás, Caba, Luzbel, que estos venavedores sean los que traigan a arrastrones y empujones hasta no verla a mis pies.
Oh Santa Marta maula, que cuando en el mundo anduviste todo se te concedía, cualquier intento que hacías, concede lo que yo te pido alma de los cuatro vientos prin- [vuelto] cipe de los cuatro vientos príncipe de las tinieblas, tú que andas por mares y tierras y vientos traéme [sic] en el pensamiento de Jesucristo que yo te pido.
    Muerte negra, muerte blanca, muerte de los cuatro vientos, Santa Marta, San Apolinar, San Apolonio 7 sueños y 7 flores, 7 penas, 7 diablos sean los que me traigan lo que quiero. Alma de Juan minero, repito tres veces: alma de Juan minero, alma de los cuatro vientos tú que andas por cerros y montañas.
   Santa Marta, Santa Elena de la Cruz del amor que puse en ti. Santa Marta Chiquita y bonita, Santa Elena de la Cruz chiquita y bonita concédeme lo que te pido que sin mí no pueda estar un momento tranquila y que no pueda comer, ni dormir sueño que ha de tener hasta no verla rendida a las plantas de mis pies.",Catón blanco satinado,Mercado de Catemaco (2017),12 x 8.5,,,
106,Oración del Antigua y milagrosa [sic] Espíritu Dominador,"Espíritu Dominador que dominas en las planos terrenales y espirituales, te llamo tres veces para que vengas y te manifiestes en este Cirio de Amor y Cariño y que por medio de El me concedas el amor y cariño de ..........
   Ven pronto y rápido que dominado te tengo por el poder y mediación del Espíritu Dominador.
   Espíritu de Juan Minero, tráelo.
Espíritu del Caballo Prieto, ciégalo de amor por mí.
Espíritu de Juan perdido, búscalo y tráelo a las puertas de mi casa.
   Espíritu de Rosita Alvirez, enamóralo y nunca lo dejes hasta que rendido y humillado venga a las puertas de mi casa.",Cartulina blanca  satinada,Mercado de Catemaco (2017),12 x 8.5,"NOTA: Se hace 9 noches usando dos velas rojas, untadas con polvo del Espíritu Dominador.",,
107,POLVO SOBRENATURAL PODEROSO MONICATO.,"LEGÍTIMO POLVO SOBRENATURAL DEL Poderoso Monicato.
MONICATO Y LUZBEL QUIERO QUE ME DOMINES A FULANO O FULANA. ",Polvo gris claro,Mercado de Catemaco (2017),9.5 x 5.7,"USELO POLVEANDOSE DESPUÉS DE REZAR LA ORACION AL PODEROSO MONICARO Y TAMBIÉN VISTA LAS VELAS CON ESTE POLVO.
COMPRE EL AMULETO DEL MONICATO.
SABAGO UNICIN MEZ",,
108,Novena a la santa muerte,,,,,,,
109,ORACION DE LA “VELA ATRAYENTE”,"ORACION DE LA “VELA ATRAYENTE”
LLAMA ARDIENTE, ARDE FUERTE E INFLAQMA CON TU FUEGO, EL CORAZON DE ESTE HOMBRE QUE MI ESPOSO (NOVIO, AMANTE, ETC.) ES.
LLAMA DEL AMOR, LLAMA ARDIENTE, LLAMA DE MIEL NO DEJES QUE MI ESPOSO (NOVIO, AMANTE, ETC.) ME SEA ARREBATADO POR NINGUNA MUJER.
EMBRUJO DE AMOR, LLAMA DE AMOR, HOMBRE DE AMOR ERES Y SOLO MIO SERAS.
MUJER INTRUSA, ASI COMO SE CONSUME ESTA VELA ASI TE CONSUMIRAS TU, BORRADA DE SU PENSAMIENTO SERAS.
MIEL Y MANTEQUILLA AFRODISIACOS SON INTRUMENTOS MIOS SERAN.
AMOR Y CALOR ME DARAN Y AMANTE ESPOSO (NOVIO, AMANTE, ETC.) TENDRE.",Cartón amarillo,Mercado de Catemaco (2016),12.5 x 7.8,"NOTA: UNTE UNA VELA ROJA CON MIEL, MANTEQUILLA Y POLVO DE LA VELA ATRAYENTE Y RECE 12 DIAS LA ORACION. UNA VELA POR DIA.
SE TENDRAN ENVUELTAS EN TRAPO VERDE. FROTE SUS LABIOS.",,
110,TALIZMAN [sic] COLMILLO DEL COYOTE ,"ORACION DEL COYOTE
Coyotito hermoso por el poder que tienes con tu colmillo virtuoso voy hacerlo relicario. Para que me devulevas el cariño de fulano de tal para que olvide a la mujer que tenga y venga rendido y humillado a cumplir lo que me ha ofrecido.","Bolsa de celofán con la oración impresa en papel amarillo engrapada a un cartón. Tiene un frasquito con líquido rojo y una bolsita de paliacate rojo con un colmillo, un cuadrito de cuero cabelludo con pelo gris, amarrada con una liga roja. ",Para mayor resultado y tener suerte use este amuleto de doble suerte,,,,
111,EL GATO DEL AMOR,,"Bolsa de celofán sellada con un gato rojo de fieltro, ojos de lentejuela azul y alfileres por bigotes. La oración impresa en un papel blanco recortado. ",(2017) Mariana,,"Atraqpe cualquier persona con efectos rapidos: el gato rojo del amor atraé [sic] y domina al ser amado.
INSTRUCCIONES;
Con un alfiler de cabeza roja se le clava en el corazón, pronunciando el nombre de la persona que se desea atraer se le pone el nombre en un papel y se le pega al gato. Lo envuelve en su pantaleta por tres dias y luego lo quema con un poco de alcohol y ara [sic] una nube de humo, que atraera a la persona; cominandola. ",,
112,AMULETO GALLINA NEGRA,,"Bolsa de celofán sellada con una gallina de fieltro negra con la cresta roja, Un ojo de lentejuela. El texto en un papel blanco impreso. ",,,"USE ESTE AMULETO PARA PROTEGERSE DE TODO MAL QUE QUIERAN HACERLE O LE HAYAN ECHO [sic].
MODO DE USO: DEJE ESTE AMULETO SERENAR DURANTE UNA NOCHE ENTERA AL DIA SIGUIENTE LIMPIESE CON EL AMULETO.
PASELO POR TODO EL CUERPO DICIENDO ME LIMPIO, ME LIMPIO Y ME LIMPIO TRES VECES LEO [sic] HE DE DECIR PORQUE DE TODO MAL LIBRE YO HE DE QUEDAR.
POSTERIORMENTE DESPUÉS DE LA LIMPIA PONGA UN POCO DE ALCHOL [sic] SOBRE EL AMULETO Y QUÉMELO.
ASI QUEDARA LIMPIO DE TODO MAL DE OJO CHISMES Y EMVIDIAS [sic]",,
113,ORACIÓN A SAN GABRIEL,"ORACIÓN A SAN GABRIEL
GLOSIOSISIMO PRINCIPE DE LA CORTE DEL CIELO Y EXCELENTISIMO SAN GABRIEL, ´PRIMER MINISTRO DE DIOS, AMIGO DE JESUCRISTO Y MUY FAVORECIDO DE SU SANTISIMA MADRE, DEFENSOR DE LA IGLESIA Y ABOGADO DE LOS HOMBRES PUES TANTO FAVORECEIS A VUESTROS DEVOTOS, HACED QUE YO OS SEPA AMAR Y SERVIR Y ALCANZADME DEL SEÑOR LO QUE DESEO Y PIDO EN ESTA ORACION A MAYOR HONRA Y GLORIA SUYA Y PROVECHO DE MI ALMA. AMEN ",Cartón amarillo,Mercado Independencia Morelia (2017),,,,
114,ORACION A CHANGO MACHO,"ORACION A CHANGO MACHO
ESPIRITU DE LA BUENA SUERTE
EN NOMBRE DEL PADRE, DEL HIJO, DEL ESPÍRITU SANTO; YO TE INVOCO, PODEROSO GUERRERO PARA QUE A TRAVES DE TI, SE CUMPLA LA VOLUNTAD DE NUESTRO SEÑOR. 
SOLO RECLAMO TU GRACIAS PARA QUE MI FE SE FORTIFIQUE Y HAYA PAZ; AMOR Y JUSTICIA EN MIS ACTOS Y PENSAMIENTOS.
POSTRADO ANTE TU IMAGEN, PIDO TAN SOLO SUERTE PARA CUBRIR MIS NECESIDADES, PARA LLEVAR ALEGRIA Y REGOCIJO A MI HOGAR Y A MIS SEMEJANTES, PARA (HAGA PETICION). JURO QUE NO HAY EGOISMO EN MI PETICION SINO SOLO CONFIANZA EN LA DIVINA PROVIDENCIA. 
AMEN. ",Cartón rosa,,,,,
115,Oracion a Santiago de Galicia,,Oración,,,,,
116,POLVO DE LA BRUJA CONTRA MALEFICIOS,,Polvo gris claro ,Mercado Independencia  de Morelia (2016),,"POLVO DE LA BRUJA      Para quitar del cuerpo de una persona cualquier maleficio causedo [sic] por obra negra satánica.                 MODO DE USARSE                      En día viernes a las 12 del día, se baña al enfermo con Sangíia Espiritual, en seguida se frota todo el cuerpo con Polvo de la Bruja y se acuesta al enfermo por término de una hora y en 13 dias tendrá alivio ottal [sic]",,
117,"LEGITIMOS POLVOS ""YO DOMINO A MI HOMBRE""",,Polvo gris,Mercado Independencia  de Morelia (2016),,legitimo polvo de     yo domino a mi hombre,,
118,LEGITIMO POLVO DE SAN SIMON,"SAN SIMÓN      Gracias    Oh poderoso San simón, vengo humildemente a postrarme ante ti para que me ayudes en todos mis actos y en todo peligro.     En el amor, detendrás al ser que yo quiero, en los negocios que jamás caiga porque no dejarás que los brujos tengan más poder que tú. Si es un enemigo, eres tú el vencedor, si son enemigos ocultos, con tu poder los alejas en cuanto te nombre.     Poderoso San Simón, te ofrezco tu puro, tu tortilla, tu guerito y tus velitas, si me sacas de cualquier peligro en que me encuentra, ya sea que me demanden por deudas, que por el tiempo no las pueda pagar, que el juez quede vencido al lado mio por tu nombre, que todo quede en el olvido y te pido a nombre de aquél a quien vendieron los 30 monedas y fueron dadas a los más necesitados.     Asi quiero que me hagas los milagros que te pido. Oh Judas simón, te llamo hermano en todo momento, porque estás en la tierra, en las montañas, llanos, bosques, ciudades, campos, aldeas y casas. Amen. (hágase la petición).     Usala en riegos y baños para obtener [ilegible] especialos o cosas difíciles.",Polvo gris claro ,Mercado Independencia  de Morelia (2016), ,,,
119,LEGITIMO POLVO ARRAZA CON TODO   ,Polvo blanco,,Mercado Independencia  de Morelia (2016),,USELO QUEMANDO EN BRAZAS   ABRE CAMINO   ARRAZA TODO   USELO POLVEANDOSE DESPUES DEL BAÑO.  [VERSO:] USE ESTE MARAVILLOSO POLVO DESPUES DEL BAÑO POLVEANDOSE.   PODEROSO RESGUARDO CONTRA MALEGICIOS ,,
120,POLVOS LEGITIMOS DE LA GUADAÑA JUZGADORA,"Así como disuelvo y arrojo al viento estos polvos de la Guadaña juzgadora, así se retiran de mi presencia todos aquellos hombres y mujeres que sean mis enemigos o enemigas. ",Polvo gris,Mercado Independencia  de Morelia (2016),,LEGITIMO POLVO DE LA GUADAÑA JUZGADORA.   Se ponen estos polvos en la pálma de la mano izquierda se le sopla al lado donde va el viento ey se dice:,,
121,LEGITIMO POLVO del Antiguo y Milagroso   Espiritu Dominador,"Espiritu dominadorque domina en los planos terrenales y espirituales, te llamo tres vecespara que vengas y te manifiestes en este cirio de amor y cariño y que por medio de el me concedas el amor y el cariñio de ___________   Ven pronto y rápido que dominado te tengo por el poder y mediación del espíritu Dominador. Espiritu de Juan Minero, traelo.    Espíritu de juan Perdido, búscalo y trelos a las puertas de mi casa.    Espíritu de Rosita alvirez enamoralos y nunca lo dejes hasta que rendido y humillado venga a las puertas de mi casa.  ",Polvo gris claro,Mercado Independencia  de Morelia (2016),,NOTA: se hace 9 noches usando dos velas untadas con polvo del Espíritu Dominador.       CITUN NUEVE,,
122,LEGITIMO POLVO DE        PERRO CAZADOR,Oración:  Perro cazador Amigo Fiel hasta la muerte yotem riego este polvito y te marco el caminito para que te lleves de aquí a  _______ que en los caminos se piedan y jamás regresen. Amén,Polvo gris claro,Mercado Independencia  de Morelia (2016),,"Legítimo  Polvo   DEL PERRO CAZADOR    Brand    Para Retirar Malos Vecinos    Retira a los malos vecinos, regándoles desde la puerta de la casaq. Se les hace un caminito con este polvo, como marcándoles el camino que deben seguir, cuando se esté regando el polvo se dice la siguiente Oración: ",,
123,LEGITIMO POLVO CUERNO DE LA ABUNCANDIA  ,,,,,"CUERNO DE LA ABUNDANCIA PARA TENR [sic] SUERTE EN LOS NEGOCIOS, LITERÍA Y TRABAJO                     LEGITIMO POLVO DE VEN DINERO   FAST MONEY   PROTECTOR DE DINERO   FUERZA DE DINERO   PRONTO DINERO   MISTICO O CURIOSO",,
124,SAL DE 7 CANTINAS,,Sal blanca,,,"(Paqra salar a una persona)    Se prepara un brevaje [sic] en la siguiente forma:    Se usa pomo o frasco de vidrio con tapón ya sea de corcho o metálico y en dicho recipiente se pone una porción de orines. Durante 7 días, además tantita sal de las 7 cantinas, finalmente se le pone al frasco que contiene el brevaje 7 gotas de agua bend ta [sic] y al día siguiente o sea a los 16 días de haber preparado esta solución, en la madrugada se vacía el líquido en cruz siendo suficiente para que ese hogar o persona quede salado durante 7 años.",,
125,RELICARIO PIEDRA IMAN ,"Yo te pongo Oro para mi tesoro, Plata para mi casa, Cobre para el pobre, coral para que me retires la envidia y el mal, Trigo para que me des buen marido o (esposa)        PIEDRA IMAN ENCANTADO4RA, PRECIOSA [ILEGIBLE] ESPIRITUAL, DALE SUERTE A MI NEGOCIO FELICIDAD A MI HOGAR     IMAN ERES, IMAN SERAS Y PARA FORTUNA SUERTE DE LLAMARAS.",Polvo gris claro ,,,Piedra Imán Fuida [?]   piedra iman ,,
126,POLVO ESPECIAL TRIANGULO MAGICO,,Polvo gris claro,Mercado Independencia  de Morelia (2016),,"Corta trabajo negro. Acostumbre usarlo polveándose todo el cuerpo diariamente de luna Creciente a Luna Llena. Este polvo es muy especial para retirar toda clase de maleficios, males puestos",,
127,LEGITIMO POLVO DE ATRAYENTE,,Polvo gris claro,Mercado Independencia  de Morelia (2016),,LEGITIMO PLVO DE ATRAYENTE    Uselo polveándose en todo el cuerpo para atraer a la persona amada. ,,
128,LEGITIMO POLVO DE LA CALAVERA,,Ramitas,Mercado Independencia  de Morelia (2016),,BUSQUE DENTRO DE ESTE SOBRE INTRUCCIONES      LEGITIMO POLVO DE LA CALAVERA     Este POLVO también se puede dar de comer en los alimentos en muy pequeñas cantidades para dominar a un a persona. ,,
129,Legitimo Polvo Contra Magia  Negra y Blanca,,Polvo gris claro,Mercado Independencia  de Morelia (2016),,,,
130,LEGITIMO POLVO PROTECTOR DEL AMOR,,Polvo gris claro,Mercado Independencia  de Morelia (2016),,Pata hombre y Mijer    Uselo todos los días,,
131,LEGITIMO POLVO DE LA CRUZ DE CARAVACA   DE ABRECAMINO,,Polvo gris,Mercado Independencia  de Morelia (2016),,,,
132,LEGITIMO POLVO DE COYOTE,,Polvo gris claro,Mercado Independencia  de Morelia (2016),,"LEGITIMO POLVO DE COYOTE   USELO PARA LIBRARSE DE PRISION, ENEMIGOS Y GANAR CUALQUIER JUEGO     Por su preparación científica nos atrae el bien y nos evita las malas influencias, retira Fuerzas Negativas.    Productos misticos o cueriosos",,
133,POLVOS LEGITIMOS DE LA GUADAÑA JUZGADORA,"Así como disuelvo y arrojo al viento estos polvos de la Guadaña juzgadora, así se retiran de mi presencia todos aquellos hombres y mujeres que sean mis enemigos o enemigas. ",Polvo gris,Mercado Independencia  de Morelia (2016),,LEGITIMO POLVO DE LA GUADAÑA JUZGADORA.   Se ponen estos polvos en la pálma de la mano izquierda se le sopla al lado donde va el viento y se dice:,,
134,LEGITIMO POLVO San Miguel Arcangel ,"San Miguel Arcángel como tu eres el encargado de todos los trabajos en el mundo te imploro en esta solemne hora alejar males diabólicos, envidias, dificultades, malas voluntades y atraer suerte y trabajo",Polvo gris claro,Mercado Independencia  de Morelia (2016),,"LEGITIMO POLVO DE SAN MIGUEL ANRANGEL    Rieguese este polvo en la casa, oficina o negocio; rece al regar el polvo tres padres nuestros.    Productos místicos o curiosos.",No venía el polvo! ,
135,LEGITIMO POLVO DE LA MANO CLAVADA MAS PODEROSA,,Polvo gris claro,Mercado Independencia  de Morelia (2016),,"POLVO ESPECIAL DEL BRAZO PODERSOSO    Uselo con toda Fe Polveandose los brazoa para tener Fyuerza, Protección y Dominio.",,
136,LOEGITIMO POLVO JUAN CONQUISTADOR,,Polvo gris claro,Mercado Independencia  de Morelia (2016),,"USELO POLVEANDOSE LOS BRAZOS Y EL PECHO DESPUES DEL BAÑO TODOSW LOS DIAS,     Para tener amores u  [sic] Amistades",,
137,LEGITIMO POLVO YO DOMINO A MI MUJER,,Polvo gris claro,Mercado Independencia  de Morelia (2016),,"LEGITIMO POLVO YO DOMINO A MI MUJER    Pon diariamente en tu cuerpo estos polvos y dominaras a tu mujer. Ella siempre sera amante. Obediente y muy conforme, nada te rerpochará jamás.    PRODUCTOS MISTICOS O CURIOSOS",,
138,LEGITIMO POLVO NEGERO DESTRUCTOR,,Polvo gris,Mercado Independencia  de Morelia (2016),,"LEGITIMO POLVO    PARA VELACION NEGRO DESTRUCTOR    Acaba con maleficios, odios, rencores, envidias y malas voluntades en su hogar    MODO DE USARSE:    arrójese en la noche en el lugar por donde pasó la persona que nos perjudica y nos hace mal. ",,
139,LEGITIMO POLVO DE ORO Y PLATA  / LEGITIMO POLVO DE CHANGO MACHO DE ABRECAMINO,,Polvo gris,Mercado Independencia  de Morelia (2016),,CHANGO MACHO ESPIRITU DE LA BUENA SUERTE   PRODUCTOS MISTICOS O CURIOSOS,,
140,LEGITIMO POLVO DE Llama Cliente,,Polvo gris claro,Mercado Independencia  de Morelia (2016),,LEGITIMO POLVO DE LLAMA CLIENTE    [ilegible],,
141,MARAVILLOSO POLVO CONGO,,Polvo gris,Mercado Independencia  de Morelia (2016),,"RETIRA SALACIONES EN EL NEGOCIO, TRABAJO Y HOGAR. MAL AURE EN LA PERSONA, USELO DESPUES DEL BAÑO EN LAS MANOS Y PIES; EN EL NEGOCIO RIEGELO EN LAS 4 ESQUINAS",,
142,Polvo Divina Providencia,"A ti excelsa trinidad mi memoria y voluntad a ti agrada deidad, portento de mis portentos, consagro mis pensamientos. Obras, Palabras y Acciones, todas mis respiraciones efectos y movimientos.     R y Reine la abundancia en tus posesiones.    Antífona de que usa la Iglesia.     Para pedir la Paz.   Da Paz, señor, en estos dias, porque no hay quien pelee por nosotros sino tu.    V. En tu virtud, se haga la paz. ",Polvo gris claro,,,,,
143,LEGITIMO POLVO DE LAS CUATRO MAGIAS,,Polvo gris claro,,,"LEGITIMO POLVO DE LAS CUATRO MAGIAS   Líbrame de amarres, Hechizos, Veloaciones, Salaciones, embrujamientos y cuanto Trabajo Negro hagan en contra mía.   Uselo diariamente durante 13 días.",,
144,LEGITIMO POLVO DEL JOROBADO HUMILLADOR,,Polvo gris,,,LEGITIMO POLVO DE JOROBADO HUMILLADOR    Es te polvo le sirve para humillar a la persona que así lo merezca y para vencer toda clase de enemigos.   Uselo cualquier día de la semana polveándose las manos y cuello por las noches al acostarse,,
